Slno,tradeName,NCO,ServiceType
1,Borer,831.1,AIR FORCE
2,Instructor Radar Operators,726.2,AIR FORCE
3,Radio Mechanic Installation,728.8,AIR FORCE
4,Kitchen Supervisor,831.1,AIR FORCE
5,Mechanic Tractor,872.1,AIR FORCE
6,Mechanic Telephone & Telegraph,872.2,AIR FORCE
7,Instructor Mechanic,872.4,AIR FORCE
8,As Senior Supervisor & Instsructor of occupations at plus,831.1,AIR FORCE
9,Assembler frame Aircraft,872.1,AIR FORCE
10,Control Tower Operator,811.1,AIR FORCE
11,"Planer,Wood",844.3,AIR FORCE
12,Mechanical Diesel Engine,811.5,AIR FORCE
13,Instructor Dent Remover,812.1,AIR FORCE
14,Blacksmith,732.25,AIR FORCE
15,Supervisor Telephone and as at above,813.35,AIR FORCE
16,Brazer,815.1,AIR FORCE
17,Ledger Clerk,811.1,AIR FORCE
18,Turner,811.1,AIR FORCE
19,Mechanical Petrol Engine,811.1,AIR FORCE
20,Temperer Metal,871.8,AIR FORCE
21,Welder Gas,873.1,AIR FORCE
22,Duplicating Machine Operator,873.4,AIR FORCE
23,Watch Repairer,873.3,AIR FORCE
24,Cable Joiner Light & Power,872.5,AIR FORCE
25,Armourer,726.1,AIR FORCE
26,Welder Electric,832.1,AIR FORCE
27,Wireless Operator,873.2,AIR FORCE
28,"Mechanic Precision Instrument,Electrical",873.1,AIR FORCE
29,Mechanic Precision Instrumental Electrical,873.2,AIR FORCE
30,Mechanic Precision Instrument,873.3,AIR FORCE
31,Mechanic Aircraft,873.4,AIR FORCE
32,Mechanic Road Roller,873.5,AIR FORCE
33,"Laboratory Assistant,other",872.5,AIR FORCE
34,Mechanic Precision General,874.8,AIR FORCE
35,"Fitter,General",855.2,AIR FORCE
36,Flight Purser,855.3,AIR FORCE
37,Furniture Maker Wood,851.1,AIR FORCE
38,"Fitter,Bench,Viceman",851.3,AIR FORCE
39,"Book-keeper,General",859.65,AIR FORCE
40,Carpenter Packing cases,841.7,AIR FORCE
41,Horner,842.1,AIR FORCE
42,AS Junior Supervisor and Instructor of occupations,839.1,AIR FORCE
