,,Air Force Trade,
Sl.No.,Name of the Trade,,NCO Code No.
1,Blacksmith,,831.1
2,Welder Gas,,872.1
3,Welder Electric,,872.2
4,Hardner Metal,,726.2
5,Temperer Metal,,726.3
6,Metal Sprayer,,728.8
7,Instructor Blacksmith,,831.1
8,Instructor Welder Gas,,872.1
9,Instructor Welder Electric Plus,,872.2
10,Gas cutter,,872.4
11,AS Junior Supervisor and Instructor,,831.1
12,AS Junior Supervisor and Instructor of occupations,,872.1
13,Carpenter,,811.1
14,"Mechanic,Aircraft Propeller",,844.3
15,Joiner,,811.5
16,Furniture Maker Wood,,812.1
17,Wood Turner,,813.15
18,Band Saw Operator,,732.25
19,"Planer,Wood",,813.35
20,Body Builder Automobile,,815.1
21,Instructor Carpenter General,,811.1
22,Sergeant,can work as Junior Supervisor,811.1
23,Junior Warrant Officer,,811.1
24,Riveter,,871.8
25,Sheet Metal Worker General,,873.1
26,Dent Remover,,873.4
27,Sheet Metal Machine Operator,,873.3
28,Tin Smith,,873.5
29,Brazer,,872.5
30,"Annealer , Metal",,726.1
31,Sheet Metal Marker,,832.1
32,Sheet Metal Worker Structural,,873.2
33,Instructor Sheet Metal Worker,,873.1
34,Instructor Structural Machine,,873.2
35,Instructor Sheet Metal Machine Operator,,873.3
36,Instructor Dent Remover,,873.4
37,Instructor Tin Smith,,873.5
38,Instructor Brazer,,872.5
39,Instructor Riveter,,874.8
40,Electrician Aircraft,,855.2
41,Electrician Automobile,,855.3
42,Electrician General,,851.1
43,Switch Board Attendant,,961.5
44,Electrical Fitter,,851.3
45,Battery Servicing Man,,859.65
46,Calibrator,,841.7
47,Fitter General,,842.1
48,Armourer,,839.1
49,Browner,,728.7
50,"Fitter,Arms",,839.1
51,"Annealer,Metal",,726.1
52,Gauge Maker,,833.1
53,Mechanic Automobile,,843.3
54,Mechanic Motor Cycle,,843.6
55,Mechanic Petrol Engine,,845.1
56,Mechanic Diesel Engine,,845.13
57,Mechanic Tractor,,845.2
58,Mechanic Road Roller,,845.26
59,Airframe Erector,,844.2
60,Assembler frame Aircraft,,844.1
61,Mechanic Aircraft,,844.3
62,"Painter,Spray",,932.2
63,Instructor Airframe Erector,,844.2
64,Instructor Assembler frame aircraft,,844.1
65,Instructor Mechanic,,844.3
66,Instructor Fitter General,,842.1
67,Instructor Painter Spray,,
68,As Senior Supervisor & Instsructor of occupations at plus,,351.1
,store keeper,,
69,Engine Tester Aircraft,,844.4
70,Mechanic Aircraft,Field Service,844.6
71,Mechanic Aircraft Engine overhauling,,844.5
72,Field Mechanic Aircraft,,844.8
73,Mechanic Precision General,,841.15
74,Mechanic Precision Instrument,,841.2
75,Mechanic Automiser & Fuel Pump Diesel,,841.3
76,Assembler Precision Instrument,,841.6
77,Mechanic Precision Instrumental Electrical,,851.2
78,Mechanic Optical Instrument,,841.5
79,Watch Marker,,841.1
80,Watch Repairer,,841.1
81,"Tool Setter,General",,834.1
82,Turner,,835.15
83,Miller,,835.45
84,Shaper,,835.25
85,Planer,,835.3
86,Borer,,835.7
87,Slotter,,835.4
88,Gear Cutter,,835.5
89,Roll Grinder,,836.2
90,Horner,,836.35
91,"Grinder,General Metal",,836.1
