,Army Trade,
S.No,Name of Trade,NCO
1,Cartographer Air Survey Draughtsman,30.7
2,Storekeeper,351.1
3,Stores Distributor,351.2
4,Stock Verifier,351.3
5,Mechanic Precision Instrument,841.15
6,Typewriter Mechanic,841.4
7,Calibrator,841.7
8,Watch Maker,841.1
9,Watch Repairer,841.1
10,Teleprinter Mechanic,856.3
11,Mechanic Precision Instrument Electrical,851.2
12,Mechanic Optical Instrument,841.5
13,Radio Technician,854.3
14,Inspector Assembly,859.4
15,Telephone Mechanic,856.2
16,Wiring Inspector,859.3
17,Radio Mechanic,854.4
18,Telephone Installation,856.1
19,X-ray Mechanic,852.4
20,Radar Mechanic,852.3
21,Electronic Mechanic,761.37
22,Mechanic Petrol Engine,845.1
23,Mechanic Automobile,843.3
24,Mechanic Diesel Engine,845.13
25,Mechanic Motor Cycle,843.6
26,Fitter Automobile,843.5
27,Petrol Engine Assembler,842.4
28,Automobile Assembler,843.1
29,Motor Cycle Assembler,843.2
30,Diesel Engine Assemblerr,842.45
31,Automobile Electrician,855.3
32,Wireman Light & Power,855.1
33,Armature Winder,859.5
34,Electrical Fitter,851.3
35,Electrician,851.1
36,Battery Repairer,859.65
37,Arms Fitter,839.1
38,Fitter,842.1
39,Security Officer,573.1
40,Lineman Light and Power,857.1
41,Dental Mechanic,841.85
42,Dental Assistant,81.1
43,Draughtsman Architecture,30.1
44,Draughtsman Civil,30.2
45,Draughtsman Structural,30.5
46,Loco Shunter,983.4
47,Fireman Railway,984.1
48,Fireman Boiler,962.3
49,Driver Railway Steam Engine,983.1
50,Station Officer Overseas Communication,732.1
51,Radio Broadcasting,813.45
52,Telephone Supervisor,850.2
53,Tech Asst Overseas Communication,392.2
54,Control Tower Operator Aerodrome,392.6
55,Telephone Inspector,369.8
56,Telephone Line Inspector,369.75
57,Higher School Teacher (PG + B.E.d),151.1
58,High School Teacher,151.9
59,Language Teacher,151.2
60,Lab Assistant,60.1
61,Printing Machine Mechanic,845.65
62,Petrol Engine Mechanic,845.1
63,Diesel Engine Mechanic,845.13
64,Steam Engine Mechanic,845.35
65,Refrigeration and AC Mechanic,845.7
66,Wireless Operator,392.3
67,Civil Engineer Overseer,31.1
68,Surveyor,37.1
69,Surveyor Topographic,28.1
70,Leveller,37.2
71,Traverser,37.2
72,Way Inspector,31.2
73,Personal Assistant,320.1
74,Stenographer,320.2
75,X-ray Technician,86.1
76,Serang Deck,981.1
77,Plane Tabler,37.1
78,Rador Operator,392.7
79,Railway Station Master,360.1
80,Yard Master Railway,369.33
81,Passenger Train Guard,370.1
82,Goods Train Guard,370.2
83,Translator,135.2
84,Interpreter,135.3
85,Control Tower Operator Aerodrome,392.6
86,Grade Operator,974.2
87,Dragline Operator,974.35
88,Bulldozer Operator,974.1
89,Nursing Attendant,89.1
90,Nurse,84.1
91,Clerk,350.1
92,Typist,321.1
93,Office Assistant,302.1
94,Clerk Accounts,330.2
95,Section Officer,300.1
96,Audit Clerk,339.2
97,Record Clerk,350.1
98,Store Clerk,350.1
99,Dresser,80.3
100,Pharmacist,76.2
101,Lithographic Artists,30.8
102,Retoucher Lithographic,925.1
103,Lab Assistant Clinical,60.1
104,Cable Jointer Light & Power,857.3
105,Switch Board Attendant,961.5
106,Mechanic Road Roller,845.26
107,Mechanic Tractor,845.2
108,Guard Passenger Train,370.1
109,Guard Goods Train,370.2
110,Transferor,926.4
111,Middle School Teacher,152.1
112,Primary School Teacher,153.1
113,P.T.Instructor,193.6
114,Assembler Precision Instrument,841.6
115,Mechanic Precision Instrument,841.15
116,Limbmaker,841.8
117,Fitter,842.1
118,Pattern Maker Wood,819.2
119,Upholsterer,796.2
120,Shoe Maker,801.1
121,Lino Operator,893.1
122,Mono Operator,893.2
123,Mechanic Printing Machine,845.65
124,Printing Press Operators,923.9
125,Machineman Lithograhic Printing,923.6
126,Driver Truck,986.65
127,Telegraphist,391.2
128,Teleprinter Operator,322.1
129,Retoucher Photographic,928.6
130,Cameraman,926.1
131,Photographer,173.1
132,Physiotherapy Technician,88.1
133,Radio Assembly Operator,853.5
134,Battery Servicing man,859.6
135,Sanitary Darogha,89.4
136,Saw Doctor,819.85
137,Saw Grinder,836.6
138,Store Distributor,351.2
139,Shop Assistant,430.3
140,Surveyor Topographical,28.1
141,Electronics Fitter,852.1
142,Electronics Technician,32.2
143,Machinist,835.1
144,Tool Maker,833.1
145,Turner,835.15
146,Mechanic Pump,845.57
147,Fitter Arms,839.1
148,Armourer,839.1
149,Bycycle Fitter,845.73
150,Boiler Maker,874.5
151,Riveter,874.8
152,Manager Livestock Farm,604.1
153,Farmer,621.1
154,Stockman,82.2
155,Concrete Moulder,952.1
156,Bricklayer,951.2
157,Draughtsman Electrical,30.3
158,Petrol Pump Attendant,430.4
159,Crane Operator Diesel,973.15
160,Crane Operator Hydraulic,973.3
161,Mobile Crane Operator,973.35
162,Fitter Marine,845.4
163,Driver Launch,981.5
164,Marine Fitter,845.4
