,,Name Of Organization :,,,,,,,
S_Id,D_Id,Sno.,StateName,District Name,Number of volunteers/ workers,Name of District Nodal Officer,Designation,MobileNo,Emailid
35,603,1,ANDAMAN AND NICOBAR ISLANDS,NIKOBAR,,,,,
35,632,2,ANDAMAN AND NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,,,,,
35,602,3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,,,,,
28,502,4,ANDHRA PRADESH,ANANTHAPUR,,,,,
28,503,5,ANDHRA PRADESH,CHITOOR,,,,,
28,505,6,ANDHRA PRADESH,EAST GODAVARI,,,,,
28,506,7,ANDHRA PRADESH,GUNTUR,,,,,
28,504,8,ANDHRA PRADESH,KADAPA,,,,,
28,510,9,ANDHRA PRADESH,KRISHNA,,,,,
28,511,10,ANDHRA PRADESH,KURNOOL,,,,,
28,517,11,ANDHRA PRADESH,PRAKASAM,,,,,
28,515,12,ANDHRA PRADESH,SHRI POTTI SRIRAMULU NELLORE,,,,,
28,519,13,ANDHRA PRADESH,SRIKAKULAM,,,,,
28,520,14,ANDHRA PRADESH,VISAKHAPATNAM,,,,,
28,521,15,ANDHRA PRADESH,VIZIANAGARAM,,,,,
28,523,16,ANDHRA PRADESH,WEST GODAVARI,,,,,
12,628,17,ARUNACHAL PRADESH,ANJAW,,,,,
12,229,18,ARUNACHAL PRADESH,CHANGLANG,,,,,
12,230,19,ARUNACHAL PRADESH,DIBANG VALLEY,,,,,
12,231,20,ARUNACHAL PRADESH,EAST KAMENG,,,,,
12,232,21,ARUNACHAL PRADESH,EAST SIANG,,,,,
12,718,22,ARUNACHAL PRADESH,KAMLE,,,,,
12,677,23,ARUNACHAL PRADESH,Kra Daadi  ,,,,,
12,233,24,ARUNACHAL PRADESH,KURUNG KUMEY,,,,,
12,234,25,ARUNACHAL PRADESH,LOHIT,,,,,
12,666,26,ARUNACHAL PRADESH,LONGDING,,,,,
12,235,27,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,,,,,
12,719,28,ARUNACHAL PRADESH,LOWER SIANG,,,,,
12,236,29,ARUNACHAL PRADESH,LOWER SUBANSIRI,,,,,
12,678,30,ARUNACHAL PRADESH,NAMSAI,,,,,
12,723,31,ARUNACHAL PRADESH,PAKKE KESSANG,,,,,
12,237,32,ARUNACHAL PRADESH,PAPUM PARE,,,,,
12,679,33,ARUNACHAL PRADESH,SIANG,,,,,
12,238,34,ARUNACHAL PRADESH,TAWANG,,,,,
12,239,35,ARUNACHAL PRADESH,TIRAP,,,,,
12,240,36,ARUNACHAL PRADESH,UPPAR SIANG,,,,,
12,241,37,ARUNACHAL PRADESH,UPPER SUBANSIRI,,,,,
12,242,38,ARUNACHAL PRADESH,WEST KAMENG,,,,,
12,243,39,ARUNACHAL PRADESH,WEST SIANG,,,,,
18,616,40,ASSAM,BAKSA,,,,,
18,280,41,ASSAM,BARPETA,,,,,
18,705,42,ASSAM,Biswanath,,,,,
18,281,43,ASSAM,BONGAIGAON,,,,,
18,282,44,ASSAM,CACHAR,,,,,
18,708,45,ASSAM,CHARAIDEO,,,,,
18,612,46,ASSAM,CHIRANG,,,,,
18,283,47,ASSAM,DARRANG,,,,,
18,284,48,ASSAM,DHEMAJI,,,,,
18,285,49,ASSAM,DHUBRI,,,,,
18,286,50,ASSAM,DIBRUGARH,,,,,
18,299,51,ASSAM,DIMA HASAO,,,,,
18,287,52,ASSAM,GOALPARA,,,,,
18,288,53,ASSAM,GOLAGHAT,,,,,
18,289,54,ASSAM,HAILAKANDI,,,,,
18,709,55,ASSAM,HOJAI,,,,,
18,290,56,ASSAM,JORHAT,,,,,
18,291,57,ASSAM,KAMRUP,,,,,
18,618,58,ASSAM,KAMRUP METROPOLITAN,,,,,
18,292,59,ASSAM,KARBI-ANGELONG,,,,,
18,293,60,ASSAM,KARIMGANJ,,,,,
18,294,61,ASSAM,KOKRAJHAR,,,,,
18,295,62,ASSAM,LAKHIMPUR,,,,,
18,706,63,ASSAM,MAJULI,,,,,
18,296,64,ASSAM,MORIGAON,,,,,
18,297,65,ASSAM,NAGAON,,,,,
18,298,66,ASSAM,NALBARI,,,,,
18,300,67,ASSAM,SIVASAGAR,,,,,
18,301,68,ASSAM,SONITPUR,,,,,
18,707,69,ASSAM,SOUTH SALMARA MANCACHAR,,,,,
18,302,70,ASSAM,TINSUKIA,,,,,
18,617,71,ASSAM,UDALGURI,,,,,
18,710,72,ASSAM,WEST KARBI ANGLONG,,,,,
10,188,73,BIHAR,ARARIA,,,,,
10,611,74,BIHAR,ARWAL,,,,,
10,189,75,BIHAR,AURANGABAD,,,,,
