,Navy Trade,
Sl.No.,Name of the Trade,NCO Code No.
1,Craft Instsructor,156.2
2,Electrician,851.1
3,Electric Overseer,
4,Foreman Electric Fitter,851.3
5,Electric Fitter,
6,Radio Mechanic,854.4
7,Radar Mechanic,852.3
8,Mechanic Automiser & Fuel Pump Diesel,841.3
9,Turner,835.15
10,Shaper,835.25
11,Miller,835.45
12,Assembler,842.3
13,Assembler Refrigeration,842.35
14,Assembler,842.45
15,"Assembler , Turbine & Steam Engine",842.55
16,Mechanic Diesel Engine,845.13
17,Mechanic Turbine,845.3
18,Mechanic Stationary steam engine,845.35
19,Fitter Stationary Steam Engine,845.37
20,Fitter Marine,845.4
21,Mech. Maintenance,845.53
22,Mechanic Pump,845.57
23,"Mechanic ,Regrigeration &AC",845.7
24,Sheet Metal Worker,873.1
25,Boiler Maker,874.5
26,Mechanical Overseer,845.84
27,"Shipwright,Wood",816.2
28,Marker,819.15
29,Serang Ship Builging,816.3
30,Carpentership,816.4
31,Joinership,816.5
32,Carpenter Mistry,816.6
33,"Carpenter, Boat Building",816.7
34,"Caulker,Boat Building",816.8
35,Wood Polisher,819.83
36,"Carpenters,Joiners",819.9
37,Plumber,812.1
38,Engine Tester Aircraft,844.4
39,Mechanic Aircraft Engine Overhauling,844.7
40,Field Mechani Aircraft,844.8
41,Foreman Mechanic Aircraft,844.7
42,Foreman,844.8
43,"Foreman, Mech.Automobile",843.3
44,Mechanic Aircraft Engine,844.6
45,Mechanic Petrol Engine,845.1
46,Mechanic automobile,843.3
47,Foreman Fitter,842.1
48,"Fitter,Arms",839.1
49,"Fitter,General",842.1
50,Erector Machine and Equipment,842.2
51,Air Traffic Officer,369.62
52,"Driver,Car",986.4
53,"Driver,Taxi",986.45
54,FireFigher,570.3
55,"Driver,Truck",986.65
56,Fire Officer,570.2
57,Foreman Service Mechanic,843.5
58,Foreman Mechanic Automobile,843.3
59,Foreman Elerctrical Aircraft,855.2
60,Foreman Elctrician Automobile,855.3
61,Electrical Fitter,851.3
62,Electrician general Instructor,851.1
63,Foreman Radio Craftsman,854.5
